Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/1/18,3180,8307,3.9,8,813,201,5,24,1330
10/2/18,3162,8702,4.1,9,872,141,11,34,1205
10/3/18,3584,10729,5.1,6,773,186,7,69,1715
10/4/18,3713,13511,6.4,7,772,152,15,95,1895
10/5/18,3603,11029,5.2,105,822,167,7,71,1684
10/6/18,3246,8140,3.8,6,750,218,20,6,1343
10/7/18,4799,20396,9.6,30,402,329,76,100,3344
10/8/18,3299,9111,4.3,6,648,210,25,20,1513
10/9/18,3046,8076,3.8,7,900,130,15,35,1127
10/10/18,3183,8996,4.2,128,683,151,18,48,1330
10/11/18,4194,16811,8.2,18,683,216,7,90,2398
10/12/18,3427,10203,4.8,7,674,259,20,11,1630
10/13/18,3464,9661,4.6,14,655,275,40,16,1714
10/14/18,3903,14896,7.0,8,625,256,15,74,2219
10/15/18,2956,5982,2.8,12,915,206,0,0,1057
10/16/18,3432,11061,5.2,162,819,229,8,55,1630
10/17/18,3268,10426,4.9,10,737,170,3,45,1401
10/18/18,3323,9719,4.6,2,674,255,3,18,1520
10/19/18,3706,13701,6.5,14,718,114,21,93,1815
10/20/18,3788,16251,7.7,16,610,224,54,57,2102
10/21/18,3991,16642,7.9,15,437,349,33,58,2485
10/22/18,3149,8328,3.9,7,747,172,4,28,1239
10/23/18,3739,16918,8.0,8,674,127,16,115,1924
10/24/18,3075,7829,3.7,32,711,141,15,24,1108
10/25/18,3379,11073,5.2,15,596,275,18,15,1669
10/26/18,3549,11788,5.6,10,834,200,4,62,1756
10/27/18,3915,14059,6.6,18,644,209,28,83,2181
10/28/18,4450,19956,9.4,9,632,239,52,112,2834
10/29/18,3566,12544,5.9,8,665,192,8,66,1774
10/30/18,3572,14794,7.0,14,771,170,8,93,1817
10/31/18,4147,16992,8.0,3,604,212,34,85,2418
11/1/18,3448,15134,7.1,11,698,164,12,80,1689
11/2/18,4126,15924,7.5,27,487,213,23,93,2361
11/3/18,4174,15388,7.3,5,662,265,19,85,2466
11/4/18,4578,21302,10.1,11,561,256,62,99,2907
11/5/18,3710,13441,6.4,8,666,168,14,85,1918
11/6/18,3801,14300,6.7,16,659,176,7,88,1939
11/7/18,3681,13664,6.5,9,566,172,4,82,1882
11/8/18,4137,15542,7.3,26,716,238,15,86,2436
11/9/18,4445,16732,8.0,14,698,126,31,131,2671
11/10/18,3863,13636,7.0,16,589,219,3,77,2115
11/11/18,4264,17761,8.4,129,486,299,47,76,2717
11/12/18,3444,10184,4.8,19,651,244,14,40,1705
11/13/18,3202,10330,4.9,16,615,199,10,26,1376
11/14/18,3081,7598,3.6,15,835,214,8,12,1250
11/15/18,3815,12360,5.9,10,644,203,7,69,2082
11/16/18,3780,12286,5.7,13,576,281,31,42,2114
11/17/18,4548,20395,10.1,31,464,347,54,90,3077
11/18/18,4832,25512,12.0,23,450,269,53,154,3373
11/19/18,3697,11993,5.6,17,502,255,34,43,2062
11/20/18,3966,15527,7.3,13,810,196,11,96,2260
11/21/18,3738,11079,5.2,4,582,328,9,33,2101
11/22/18,4494,16705,7.8,177,522,284,18,115,2868
11/23/18,3325,9602,4.5,16,660,269,23,12,1619
11/24/18,4098,17004,9.2,23,532,217,13,100,2428
11/25/18,3005,6921,3.3,11,614,281,3,6,1306
11/26/18,3364,10563,5.6,20,587,210,10,42,1605
11/27/18,3726,13420,6.3,7,650,196,12,78,2027
11/28/18,3088,7602,3.6,16,717,272,0,0,1361
11/29/18,3693,12380,6.6,18,717,258,15,53,2051
11/30/18,3269,9559,4.5,14,699,288,12,6,1577
12/1/18,3813,14510,7.3,7,527,233,22,67,2124
12/2/18,3957,13257,6.2,195,725,265,13,70,2305
12/3/18,3660,12915,6.1,6,782,219,40,51,1993
12/4/18,3384,13763,6.5,13,608,199,11,67,1663
12/5/18,3670,13865,6.5,12,739,200,12,69,1968
12/6/18,3669,14774,7.0,9,647,198,4,78,1962
